ranker,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf
76,East Carolina,31,11,20,.355,-5.73,0.43,6,12,7,10,4,8,2217,2401,1255,771,1841,.419,166,576,.288,509,723,.704,388,1133,365,199,122,379,498
77,East Tennessee State,34,23,11,.676,-0.64,-7.33,13,5,13,4,8,6,2638,2356,1370,948,1942,.488,252,736,.342,490,659,.744,317,1146,481,297,111,346,557
78,East Texas A&amp;M,32,11,21,.344,-11.01,-2.05,6,16,6,8,4,13,2246,2385,1280,793,1831,.433,274,849,.323,386,570,.677,300,1059,515,233,102,414,542
79,Eastern Illinois,33,13,20,.394,-13.46,-5.83,8,12,9,6,3,13,2214,2321,1335,791,1850,.428,180,557,.323,452,615,.735,330,1083,404,256,101,411,542
80,Eastern Kentucky,32,11,21,.344,-10.18,-4.58,7,11,8,7,3,13,2568,2619,1300,877,2007,.437,360,1018,.354,454,626,.725,407,1153,468,224,99,376,588
Rk,School,G,W,L,W-L%,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SRS","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SOS",W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
81,Eastern Michigan,31,10,21,.323,-5.71,-1.51,4,14,7,7,3,14,2191,2279,1250,808,1813,.446,186,578,.322,389,534,.728,309,1100,392,184,129,370,564
82,Eastern Washington,33,14,19,.424,-1.98,-0.48,11,7,8,4,5,13,2576,2606,1330,914,1918,.477,239,667,.358,509,685,.743,336,1065,448,195,112,404,598
83,Elon,32,14,18,.438,-5.48,-3.01,6,12,8,8,6,9,2500,2492,1300,872,1934,.451,286,834,.343,470,651,.722,383,1136,475,221,95,346,542
84,Evansville,32,7,25,.219,-8.81,3.69,3,17,5,10,1,12,2143,2447,1290,755,1764,.428,250,763,.328,383,524,.731,249,1003,420,168,107,412,509
85,Fairfield,34,21,13,.618,-8.06,-9.06,11,9,12,4,7,8,2528,2432,1365,924,2144,.431,258,769,.336,422,594,.710,473,1308,416,227,122,346,512
86,FDU,32,11,21,.344,-14.99,-7.43,8,10,8,6,3,15,2150,2245,1285,744,1803,.413,254,820,.310,408,578,.706,385,1130,386,161,49,377,553
87,Florida&nbsp;NCAA,33,26,7,.788,27.90,13.11,16,2,14,1,8,2,2864,2376,1320,1016,2125,.478,243,789,.308,589,830,.710,532,1499,549,221,167,394,586
88,Florida A&amp;M,31,15,16,.484,-14.02,-8.95,11,7,8,4,5,11,2183,2312,1245,758,1741,.435,213,654,.326,454,651,.697,331,1059,397,251,93,469,558
89,Florida Atlantic,33,18,15,.545,3.77,1.93,9,9,11,4,4,8,2596,2453,1335,932,2021,.461,259,780,.332,473,666,.710,394,1279,436,194,177,406,581
90,Florida Gulf Coast,34,16,18,.471,-6.41,-5.03,8,10,11,6,3,11,2631,2598,1375,962,2119,.454,270,833,.324,437,608,.719,406,1255,500,263,123,373,631
91,Florida International,32,15,17,.469,-1.82,-0.47,8,12,12,6,3,10,2580,2492,1295,907,1986,.457,233,664,.351,533,774,.689,420,1214,475,293,148,416,574
92,Florida State,33,18,15,.545,11.66,9.24,10,8,11,6,6,5,2652,2572,1320,901,2050,.440,343,1037,.331,507,711,.713,380,1166,473,261,129,361,603
93,Fordham,32,17,15,.531,0.25,-0.96,8,10,11,7,4,6,2235,2095,1285,839,1907,.440,215,732,.294,342,491,.697,398,1227,459,235,69,365,501
94,Fresno State,32,13,19,.406,3.50,4.66,7,13,10,8,2,10,2331,2330,1280,813,1827,.445,238,743,.320,467,627,.745,307,1103,409,213,70,405,533
95,Furman&nbsp;NCAA,34,22,12,.647,-3.24,-6.14,10,8,11,5,7,5,2600,2397,1375,934,1963,.476,302,923,.327,430,623,.690,370,1291,532,163,112,406,513
96,Gardner-Webb,33,4,29,.121,-22.36,-1.86,1,15,3,10,0,16,2248,2820,1320,811,1897,.428,227,735,.309,399,583,.684,282,1013,335,209,81,450,582
97,George Mason,32,23,9,.719,6.45,1.19,11,7,17,2,4,6,2347,2160,1280,810,1706,.475,204,598,.341,523,718,.728,308,1115,406,161,95,340,491
98,George Washington,33,18,15,.545,9.05,2.24,8,10,12,4,3,7,2708,2433,1325,937,2008,.467,329,935,.352,505,703,.718,421,1245,519,247,114,419,592
99,Georgetown,34,16,18,.471,9.22,8.51,6,14,10,7,4,8,2503,2479,1375,869,1973,.440,221,694,.318,544,735,.740,382,1212,502,220,121,363,606
100,Georgia&nbsp;NCAA,32,22,10,.688,19.57,8.91,10,8,14,4,6,4,2874,2533,1300,988,2097,.471,314,921,.341,584,775,.754,417,1222,478,268,195,341,545
Rk,School,G,W,L,W-L%,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SRS","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SOS",W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
101,Georgia Southern,37,21,16,.568,-6.48,-6.02,8,10,9,5,7,8,2994,2949,1495,985,2251,.438,370,1099,.337,654,878,.745,398,1263,414,299,135,386,709
102,Georgia State,32,10,22,.313,-11.59,-4.59,7,11,7,7,3,12,2253,2391,1285,725,1890,.384,260,817,.318,543,693,.784,343,1123,371,221,101,348,588
103,Georgia Tech,31,11,20,.355,3.10,6.74,2,16,10,9,1,9,2287,2400,1245,817,1849,.442,215,613,.351,438,616,.711,330,1149,489,188,122,415,558
104,Gonzaga&nbsp;NCAA,33,30,3,.909,25.11,5.98,16,2,15,0,8,2,2809,2178,1325,1067,2092,.510,220,648,.340,455,651,.699,395,1317,605,281,122,319,555
105,Grambling,33,14,19,.424,-12.21,-9.99,7,11,7,5,4,13,2321,2314,1320,779,1812,.430,219,688,.318,544,743,.732,341,1107,396,266,94,481,616
106,Grand Canyon,32,20,12,.625,11.03,4.06,13,7,13,4,6,5,2420,2197,1285,827,1818,.455,225,707,.318,541,718,.753,330,1158,410,211,115,391,592
107,Green Bay,33,18,15,.545,-5.00,-3.04,12,8,10,4,6,9,2469,2470,1331,842,1734,.486,233,644,.362,552,721,.766,250,1033,460,148,90,345,559
108,Hampton,32,13,19,.406,-8.65,-4.55,7,11,10,2,2,12,2237,2264,1290,768,1854,.414,205,697,.294,496,692,.717,399,1154,386,209,104,358,617
109,Harvard,29,17,12,.586,-1.61,-4.08,10,4,8,4,9,6,2032,1934,1175,737,1592,.463,221,638,.346,337,422,.799,241,936,408,208,105,323,395
110,Hawaii&nbsp;NCAA,32,24,8,.750,4.85,-3.59,14,6,16,3,6,5,2548,2231,1290,859,1870,.459,236,749,.315,594,802,.741,355,1257,439,212,130,431,571
111,High Point&nbsp;NCAA,34,30,4,.882,6.76,-7.89,15,1,17,1,7,2,3059,2389,1370,1034,2104,.491,314,883,.356,677,911,.743,395,1237,554,370,130,318,634
112,Hofstra&nbsp;NCAA,34,24,10,.706,4.48,-2.46,12,6,10,2,9,8,2571,2246,1370,886,2005,.442,322,876,.368,477,639,.746,422,1335,434,169,125,360,583
113,Holy Cross,33,11,22,.333,-13.67,-6.80,5,13,6,8,4,14,2251,2418,1320,796,1826,.436,219,683,.321,440,582,.756,252,1031,358,189,59,335,515
114,Houston&nbsp;NCAA,34,28,6,.824,26.23,11.93,14,4,15,1,6,3,2623,2137,1365,944,2099,.450,299,856,.349,436,565,.772,435,1244,499,263,131,289,612
115,Houston Christian,32,12,20,.375,-9.76,-3.63,8,14,9,5,3,13,2147,2309,1285,758,1721,.440,194,628,.309,437,627,.697,327,1021,446,213,126,398,489
116,Howard&nbsp;NCAA,33,23,10,.697,-4.64,-11.85,11,3,11,4,7,6,2556,2236,1324,860,1875,.459,220,637,.345,616,843,.731,409,1207,535,286,121,447,632
117,Idaho&nbsp;NCAA,35,21,14,.600,-0.05,-2.70,9,9,9,4,7,9,2753,2540,1405,940,2097,.448,349,981,.356,524,713,.735,373,1309,439,205,81,370,636
118,Idaho State,33,13,20,.394,-5.54,-1.61,5,13,8,6,3,12,2459,2513,1326,841,1860,.452,253,767,.330,524,710,.738,363,1098,393,173,139,366,582
119,Illinois&nbsp;NCAA,32,24,8,.750,26.45,11.89,15,5,14,3,8,2,2700,2234,1300,918,1984,.463,349,1006,.347,515,653,.789,422,1301,470,120,148,284,428
120,Illinois State,32,20,12,.625,6.30,0.85,12,8,13,2,5,7,2404,2190,1285,861,1845,.467,275,781,.352,407,580,.702,312,1142,432,183,74,363,538
Rk,School,G,W,L,W-L%,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SRS","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SOS",W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
121,Illinois-Chicago,34,19,15,.559,3.81,0.46,12,8,9,5,7,8,2567,2379,1380,912,2006,.455,211,654,.323,532,729,.730,437,1237,493,271,121,407,571
122,Incarnate Word,31,12,19,.387,-7.09,-2.51,7,15,9,6,2,12,2302,2285,1240,805,1801,.447,266,706,.377,426,595,.716,365,1062,362,167,77,346,548
123,Indiana,32,18,14,.563,16.70,10.70,9,11,14,4,3,8,2501,2309,1295,849,1793,.474,314,906,.347,489,627,.780,263,1037,531,149,86,325,585
124,Indiana State,32,11,21,.344,-2.70,0.70,4,16,8,7,3,12,2354,2383,1305,866,1864,.465,267,837,.319,355,525,.676,298,1122,560,198,103,439,514
125,Iona,32,18,14,.563,-7.27,-7.99,10,10,11,3,6,8,2363,2340,1305,832,1899,.438,306,871,.351,393,556,.707,317,1139,447,212,95,384,519
