Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
106,Grand Canyon,32,20,12,.625,11.03,4.06,13,7,13,4,6,5,2420,2197,69.0,99.1,.390,.382,.521,46.4,50.1,9.3,7.9,.474,15.4,25.3,.285
107,Green Bay,33,18,15,.545,-5.00,-3.04,12,8,10,4,6,9,2469,2470,65.2,114.0,.366,.436,.566,50.1,58.1,9.3,8.9,.529,11.9,28.7,.272
108,Hampton,32,13,19,.406,-8.65,-4.55,7,11,10,2,2,12,2237,2264,66.5,105.6,.442,.335,.541,49.0,50.1,9.2,11.8,.504,15.1,29.6,.300
109,Harvard,29,17,12,.586,-1.61,-4.08,10,4,8,4,9,6,2032,1934,64.0,102.9,.269,.391,.528,49.7,51.5,10.1,7.4,.498,15.0,27.8,.197
110,Hawaii,32,24,8,.750,4.85,-3.59,14,6,16,3,6,5,2548,2231,72.1,96.0,.350,.326,.499,45.5,37.9,10.6,8.2,.460,14.9,25.3,.242
111,High Point,34,30,4,.882,6.76,-7.89,15,1,17,1,7,2,3059,2389,71.8,97.2,.356,.410,.527,48.5,51.9,6.6,9.7,.491,19.8,30.4,.250
112,Hofstra,34,24,10,.706,4.48,-2.46,12,6,10,2,9,8,2571,2246,65.6,100.0,.340,.401,.492,46.3,54.9,7.6,10.2,.450,13.1,29.4,.241
113,Holy Cross,33,11,22,.333,-13.67,-6.80,5,13,6,8,4,14,2251,2418,66.1,110.9,.268,.386,.566,52.3,50.0,9.6,8.7,.539,13.1,26.9,.198
114,Houston,34,28,6,.824,26.23,11.93,14,4,15,1,6,3,2623,2137,64.9,96.5,.390,.409,.508,47.8,53.5,7.0,6.4,.466,18.1,30.9,.273
115,Houston Christian,32,12,20,.375,-9.76,-3.63,8,14,9,5,3,13,2147,2309,65.2,110.3,.299,.374,.564,51.2,52.9,10.7,9.4,.538,15.6,32.1,.213
