Rank,School,Conf,AP_Rank,W,L,Pts,Opp_Pts,MOV,SOS,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
165,Navy,Patriot,,26,7,74.7,63.8,10.91,-9.90,-4.59,3.73,-0.87,104.55,105.70,-1.16
166,Drake,MVC,,14,20,75.1,74.8,0.24,1.44,0.64,-1.57,-0.93,109.75,111.83,-2.08
167,UC Davis,Big West,,19,14,77.6,75.1,2.55,-1.13,-0.05,-1.05,-1.09,106.29,107.77,-1.49
168,College of Charleston,CAA,,21,11,75.4,73.4,2.03,-2.59,-0.78,-0.39,-1.17,105.27,107.74,-2.47
169,New Mexico State,CUSA,,16,16,75.1,72.0,3.13,-1.35,-1.04,-0.25,-1.29,107.56,109.90,-2.34
170,Robert Morris,Horizon,,22,11,77.4,72.1,5.33,-4.71,-2.09,0.81,-1.29,109.06,110.58,-1.52
171,Central Arkansas,A-Sun,,22,12,80.9,74.7,6.12,-4.66,0.48,-1.82,-1.34,106.81,108.87,-2.07
172,Oakland,Horizon,,16,16,82.6,81.7,0.88,-0.12,5.99,-7.34,-1.35,111.96,114.33,-2.38
173,Harvard,Ivy,,17,12,70.1,66.7,3.38,-4.08,-7.14,5.53,-1.61,103.94,106.51,-2.57
174,Cornell,Ivy,,15,13,88.5,83.4,5.07,-2.83,11.04,-12.72,-1.67,116.63,119.42,-2.79
175,UT Arlington,WAC,,18,14,70.0,66.7,3.31,-1.70,-8.16,6.42,-1.74,99.46,102.18,-2.72
176,Cal State Fullerton,Big West,,18,16,83.0,81.7,1.29,0.12,4.45,-6.20,-1.75,106.98,109.32,-2.34
177,Florida International,CUSA,,15,17,80.6,77.9,2.75,-0.47,3.74,-5.56,-1.82,105.75,108.83,-3.08
178,Cal State Northridge,Big West,,20,14,81.4,79.8,1.59,-1.27,5.30,-7.26,-1.96,105.99,108.73,-2.75
179,Eastern Washington,Big Sky,,14,19,78.1,79.0,-0.91,-0.48,2.33,-4.31,-1.98,111.12,113.94,-2.82
180,San Jose State,MWC,,9,24,72.0,78.5,-6.52,6.41,-0.56,-1.44,-1.99,111.12,115.53,-4.41
Rk,School,Conf,AP Rank,W,L,Pts,Opp,"Margin of VictoryA team's average margin of victory over a period or season"" >MOV","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SOS",OSRS,DSRS,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SRS","Offensive RatingAn estimate of points scored (for teams) or points produced (for players) per 100 possessions."" data-over-header=""Adjusted"" data-filter=""1"" data-name=""Offensive Rating"" >ORtg",DRtg,NRtg
181,Portland,WCC,,15,19,74.4,78.5,-4.09,3.95,-0.78,-1.30,-2.08,104.53,108.40,-3.87
182,Monmouth,CAA,,19,15,72.7,70.9,1.82,-3.14,-2.99,0.88,-2.11,103.64,107.57,-3.93
183,Massachusetts,MAC,,17,16,80.2,77.6,2.61,-3.23,3.31,-5.45,-2.14,106.10,110.34,-4.24
